"shipname","captaina","yearam","fate","fate2","fate3","fate4","slamimp","vymrtrat"
"Betty Frigate","Luke, John","1703","1","1","14","1","161"," "
"Champion","Pennington, Robert","1704","1","1","14","1","260"," "
"Larke Gally"," ","1709","1","1","14","1","133"," "
"Larke Gally","Barber, Isaac","1707","49","1","14","1","93"," "
"Mayflower","Archer, Edward","1701","49","1","14","1","46"," "
"Mayflower","Rust, Walter","1703","1","1","14","1","148"," "
"Mary","Codnor, William","1704","1","1","14","1","260"," "
"Mary","Godfrey, Edward","1704","1","1","14","1","218"," "
"Edwin and Joseph","Collins, Edward","1705","1","1","14","1","88"," "
"Content","Thorne, Joseph","1705","1","1","14","1","82"," "
"Edwin and Joseph","Collins, Edward","1705","1","1","14","1","90"," "
"Mary","Franklin, John","1705","1","1","14","1","234"," "
"Constant Alice","Hunt, John","1706","1","1","14","1","134"," "
"Edwin and Joseph","Collins, Edward","1706","1","1","14","1","92"," "
"Mary","Franklin, John","1707","1","1","14","1","226"," "
"Escape","Appleby, Joseph","1707","1","1","14","1","121"," "
"Thomas and John","Carter, Edwin","1698","1","1","14","1","130"," "
"Edwin and Joseph","Bill, Jacob","1701","1","1","14","1","63"," "
"Mary","Carter, Edwin","1701","1","1","14","1","150"," "
"Mary","Carter, Edwin","1703","1","1","14","1","295"," "
"Constant Friend","Jacobs, John","1700","1","1","14","1","106"," "
"Society","Monk, Edward","1700","92","1","14","1","234"," "
"Elizabeth and Martha","Peacock, Thomas","1701","1","1","14","1","142"," "
"Thomas and John","Harwood, John","1701","49","1","14","1","320"," "
"Samuel and Margaret","Carter, Charles","1701","49","1","14","1","240"," "
"Elizabeth","Beckwith, Thomas","1702","49","1","14","1","16"," "
"Betty Frigate","Hunter, Thomas","1702","1","1","14","1","425"," "
"Warner","Hereford, Nurse","1704","1","1","14","1","126"," "
" "," ","1672","1","1","14","1","125"," "
" ","Stone","1683","1","1","14","1","90"," "
"Dolphin (a) Kent","Paine, Samuel","1709","49","1","14","1","253"," "
"Providence","Johnson, Thomas","1709","1","1","14","1","150"," "
"Dolphin","Veer, Thomas","1709","1","1","14","1","213"," "
"Joseph Gally","Rogers, Thomas","1709","1","1","14","1","350"," "
"Richard and James","Bonham, Samuel","1710","1","1","14","1","370"," "
"Little London","Plumb, Abraham","1709","1","1","14","1","290"," "
"Young Margaret","Frisby, James","1709","1","1","14","1","230"," "
"Mermaid Gally","Dick, Mathew","1709","1","1","14","1","224"," "
"Amey Gally","Prince, Lawrence","1709","1","1","14","1","350"," "
"Dorothea","Lovell, Bowyer","1710","1","1","14","1","320","0.024390244"
"George and Martha","Foot, Samuel","1709","46","1","13","3","130"," "
"Fanteen Gally","Hudson, Kendal","1710","49","1","14","1","292"," "
"George and Catherine","Hockenhouse, Ralph","1711","71","1","13","3","90"," "
"Macklesfield","Chadwick, Samuel","1710","49","1","14","1","390"," "
"Raper Gally","Bonham, Samuel","1710","1","1","14","1","294"," "
"Dolphin Gally","Cassells, James","1710","1","1","14","1","270"," "
"Martin Gally","Brethorne, John","1710","51","1","8","3","225"," "
"George and Martha","Courtenay, William","1710","1","1","14","1","168"," "
"John and Constance","Parker, Samuel","1710","1","1","14","1","270"," "
"Eagle","Normanton, John","1710","46","1","13","3","290","0.033333333"
"Thomas Gally","Shubrick, Richard","1710","46","1","13","3","201"," "
"Hawke","Collingwood, John","1710","49","1","14","1","204"," "
"Judith","Upton, Thomas","1709","45","2","13","3"," "," "
"Greswold Gally","Imping, Phillip","1710","49","1","14","1","186"," "
"Pearl","Green, John","1715","49","1","14","1","131.4"," "
"Loyall Johnson","Carter, Zebulon","1710","1","1","14","1","180"," "
"Houlditch Frigott","Mackett, William","1710","1","1","14","1","311"," "
"Three Crownes","Herle, Digory","1710","49","1","14","1","200"," "
"Thompson","Foster, John","1709","208","5"," "," ","190.1"," "
"Prosperous","Hinton, Richard (a) Hilton","1710","1","1","14","1","125"," "
"John and Robert","Collins, Robert","1710","1","1","14","1","190.0773"," "
"Emelia (a) Emilia Galley","Prince, John","1709","51","7","8","3","190.0773"," "
"Rachel","Williams, Stephen","1710","208","5"," "," ","190.1"," "
"John Gally","White, Ignatius","1711","49","1","14","1","350"," "
"Dolphin","Clegg, Joseph","1710","208","5"," "," ","190.1"," "
"Little London","Plumb, Abraham","1711","49","1","14","1","316"," "
"Joseph Gally","Foster, John","1711","1","1","14","1","335"," "
"Raper Gally","Bonham, Samuel","1711","1","1","14","1","358"," "
"Canada","Lovell, Thomas","1712","49","1","14","1","487","0.045098039"
"Pindar","Round, Richard","1712","49","1","14","1","292","0.026666667"
"Anne Gally","Clarke, Benjamin","1717","3","1","1","2","17","0.792682927"
"Adventure","Hudson","1720","77","5"," "," ","236.1"," "
"Charles Galley","Hayes, John","1711","1","1","14","1","319"," "
"Fanteen Gally","Hudson, Kendall","1711","1","1","14","1","325"," "
"Amey Gally","Prince, Lawrence","1711","1","1","14","1","550"," "
"Recovery Gally","Love, John","1711","49","1","14","1","266"," "
"Dolphin","Payne, Samuel","1711","49","1","14","1","296"," "
"Swallow","Brethaven, Jonathan","1711","49","1","14","1","236.1312"," "
"Dorothea","Lovell, Bowyer","1711","49","1","14","1","350"," "
"New Providence","Johnson, Thomas","1711","1","1","14","1","180"," "
"Crow","Thirticle, William","1711","1","1","14","1","133"," "
"Saint Thomas","Burgeson, Jacob","1711","1","1","14","1","152"," "
"Saint Thomas","Norman, John","1711","1","1","14","1","108"," "
"Lusitania","Bristow, Robert","1682","1","1","14","1","308"," "
"Good Hope","Wheeler, Abraham","1683","1","1","14","1","242"," "
"Alexander","Branfield, Andrew","1683","1","1","14","1","301"," "
"Owner's Goodwill","Wall","1683","4","1","1","2","137"," "
"Charles","Hellmont, Lambert","1685","1","1","14","1","88"," "
"Loyall Factor","Kempthorn, Samuel","1687","1","1","14","1","281"," "
"Alexander","Branfield, Andrew","1687","1","1","14","1","295"," "
"Jeffrey","Daile, Benjamin","1687","1","1","14","1","280"," "
"Robert","Clarke, William","1687","1","1","14","1","107"," "
"Anne","Browne, Leo","1687","1","1","14","1","410"," "
"East India Merchant","Hosea, John","1687","1","1","14","1","399"," "
"Lucy","Fincham, Augustine","1687","1","1","14","1","137"," "
"Hawke","Standart, John","1688","1","1","14","1","203"," "
"Loyall Factors"," ","1688","1","1","14","1","287"," "
"African"," ","1688","1","1","14","1","202"," "
"Bonaventure"," ","1688","1","1","14","1","470"," "
"Coaster","Bramble, William","1684","1","1","14","1","163","0.099447514"
"Anna","Dowding, Edward","1694","49","1","14","1","357"," "
"Coast","Wood, Henry","1687","49","1","14","1","100","0.090909091"
"Hare","Boston, George","1687","1","1","14","1","293","0.186111111"
"Dragon","Butteram, Francis","1687","1","1","14","1","345","0.041666667"
"African Merchant","Nanter, George","1687","1","1","14","1","240","0.145907473"
"Oxford"," ","1687","1","1","14","1","35"," "
"Coast Frigate","Morley, Samuel","1693","49","1","14","1","288","0.518394649"
"Lyon","Lawrence, Giles","1682","49","1","14","1","371"," "
"Unity","Penny","1682","49","1","14","1","232","0.072"
"Swallow","Welden","1682","49","1","14","1","70","0.5625"
"Supply","Edwards","1682","1","1","14","1","120","0.5256917"
"Champion","Hayles, George","1682","49","1","14","1","24"," "
"Camelion","Clough","1683","49","1","14","1","104","0.365853659"
"Blessing","Rickards, Samuel","1683","3","4","1","2"," "," "
"Beginning","Levercomb, William","1698","1","1","14","1","133"," "
"Betty of Exon","Ellard, Charles","1698","1","1","14","1","97"," "
"Beginning","Howard, Humphrey","1700","1","1","14","1","112"," "
"Victory","Covant, John","1699","208","5"," "," ","331"," "
"Wakeing Lyon","Foye, Edward","1700","1","1","14","1","194.643"," "
"Dispatch","Addison, Robert","1701","1","1","14","1","160"," "
"Elizabeth Gally","Levercombe, William","1700","3","4","1","2"," "," "
"Anne","Norris, Charles","1702","1","1","14","1","139"," "
"Earle Gally","Howard, Humphrey","1701","54","1","3","2","260"," "
"Expectation","Levercombe, William","1701","1","1","14","1","190.0773"," "
"Humphry","Owen, John","1702","1","1","14","1","196"," "
"Anne","Howard, Humphry","1703","49","1","14","1","64"," "
"Cowslip","Darricott, Abraham","1703","1","1","14","1","128"," "
"Happy Return","Normanton, John","1703","1","1","14","1","144"," "
"African Gally","Bond, Francis","1706","1","1","14","1","196"," "
"Wakeing Lyon","Winter, Arnold","1706","1","1","14","1","154"," "
"Berkeley Gally","Westover, Henry","1707","1","1","14","1","190.0773"," "
"Colston Gally","Kenah, William","1707","1","1","14","1","200"," "
"Happy Return","Rowe, Richard","1706","1","1","14","1","190.0773"," "
"Happy Return","Forde, Jasper","1707","49","1","14","1","160"," "
"Thomson","Brancroft, Richard","1707","49","1","14","1","120"," "
"Colston Gally","Martin, Thomas","1708","1","1","14","1","216"," "
"Content Sloop","Deverell, William","1707","5"," ","1","2","108"," "
"Dorothy","Roberts, Isaac","1708","49","1","14","1","450"," "
"Dover Gally","Rudge, James","1708","1","1","14","1","187"," "
"Happy Return","Normanton, John","1708","52","1","8","3","299"," "
"Happy Return","Morgan, Francis","1708","1","1","14","1","162","0.19"
"Queen Anne Gally","Blake, John","1707","1","1","14","1","90"," "
"Stonedge Gally","Levercomb, William","1707","1","1","14","1","158"," "
"Berkley Gally","Skinner, Peter","1708","1","1","14","1","310"," "
"Colston Gally","Harrison, Stanley","1708","208"," "," "," ","190.1"," "
"Happy Return","Morgan, Francis","1708","1","1","14","1","160"," "
"Joseph Gally","Mullington, Robert","1709","49","1","14","1","280"," "
"Kent","Powell, Daniel","1709","1","1","14","1","156"," "
"Stonedge Gally","King, Samuel","1709","46","1","13","3","240"," "
"Whetstone Gally","Robbins, Thomas","1708","45","2","13","3"," "," "
"William","Collingwood, John","1709","46","1","13","3","180"," "
"Berkeley Gally","Skinner, Peter","1710","1","1","14","1","350"," "
"Charles Gally","Barlow, Samuel","1710","1","1","14","1","218","0.064377682"
"Dorset","Yeamans, Charles","1709","50","2","8","3"," "," "
"Dover Gally","Rudge, James","1709","1","1","14","1","190"," "
"Expedition Gally","Costin, Thomas","1710","1","1","14","1","145"," "
"Happy Return","Morgan, Francis","1710","51","1","8","3","95"," "
"Henvill Gally","Martin, Joseph","1710","1","1","14","1","186"," "
"Joseph and Thomas","Roberts, Isaac","1710","49","1","14","1","170","0.15"
"Leopard Gally","Owen, John","1710","1","1","14","1","201"," "
"Martha","Sorrell, John","1710","1","1","14","1","158"," "
"Union Sloop","Toms, John","1710","1","1","14","1","113"," "
"Africa Gally","Ames, William","1710","2","2","1","2"," "," "
"Ann","King, Samuel","1711","1","1","14","1","194"," "
"Anne and Dorothy","Boyer, Thomas","1711","49","1","14","1","126"," "
"Berkeley Gally","Skinner, Peter","1710","1","1","14","1","370"," "
"Bridgwater","Morris, Robert","1711","49","1","14","1","190.0773"," "
"Dover Gally","Atkinson, John","1710","1","1","14","1","245"," "
"Elizabeth and Sarah","Barry, Benjamin","1710","208"," "," "," ","190.1"," "
"Expedition Gally","Costin, Thomas","1710","5"," ","1","2","190.1"," "
"Indian King","King, Samuel","1710","2","2","1","2"," "," "
"Martha","Courtney, William","1710","45","2","13","3"," "," "
"Mary","Roberts, Isaac","1710","5"," ","1","2","108"," "
"Mermaid","Glynn, Henry","1711","1","1","14","1","200"," "
"Neptune Sloop","Little, George","1711","1","1","14","1","248"," "
"Pellican","Poskins, Francis","1711","1","1","14","1","240"," "
"Union Gally","Sadler, John","1710","5"," ","1","2","190.1"," "
"Way Gally","Scott, John","1710","5"," ","1","2","190.1"," "
"William and Orian","Deverell, William (a) Deverat","1710","208","5"," "," ","190.1"," "
"Ann","King, Samuel","1712","1","1","14","1","248"," "
"Berkeley Gally","Skinner, Peter","1711","1","1","14","1","330"," "
"Dover Gally","Mckenzy, George","1711","1","1","14","1","190.0773"," "
"Dover Gally","McKenzie, George","1712","1","1","14","1","268"," "
"Fame","Cann, John","1711","1","1","14","1","113"," "
"Jason Gally","Cooke, Richard","1711","1","1","14","1","278","0.205714286"
"Peterboro Frigate","Jones, Jeremiah","1711","1","1","14","1","330"," "
"Portobello Merchant","Benn, Robert","1712","92","1","14","1","240"," "
"Rachell","Hilliard, Richard","1712","1","1","14","1","169"," "
"Sacheverel Gally","Warner, Francis","1712","1","1","14","1","429"," "
"Tryton","Lett, Richard","1711","1","1","14","1","251"," "
"Union Sloop","Toms, John","1711","1","1","14","1","113"," "
"Amazonn","Street, John","1713","1","1","14","1","210"," "
"Anne and Sarah","Curtis, Edward","1713","1","1","14","1","190.0773"," "
"Anne","Hall, Benjamin","1712","208"," "," "," ","131.4"," "
"Attempt Gally","Yeamans, Charles","1713","49","1","14","1","180"," "
"Berkeley Gally","Jones, Jeremiah","1712","1","1","14","1","330"," "
"Douglas Frigate","Rowe, Richard","1713","1","1","14","1","236.1312"," "
"Dover Gally","McKenzy, George","1713","1","1","14","1","240"," "
"Duckinfield","Hodges, Edward","1713","1","1","14","1","260"," "
"Fame","Deverel, William","1713","1","1","14","1","108"," "
"Florida Gally","Bayly, Alexander","1712","1","1","14","1","190.0773"," "
"Jason Gally","Plummer, John","1713","1","1","14","1","391"," "
"Mercy Gally","Scott, John","1713","1","1","14","1","219"," "
"Peterboro Frigate","William, Charles","1712","1","1","14","1","320"," "
"Provis Gally","Nurse, Hereford","1713","1","1","14","1","240"," "
"Sacheverell Gally","Taylor, Thomas","1713","1","1","14","1","180"," "
"Tunbridge Gally","Skinner, Peter","1713","1","1","14","1","250"," "
"Amazonn","Street, John","1713","50","2","8","3","190.1"," "
"Anna and Sarah","Lone, Arthur","1714","1","1","14","1","190.0773"," "
"Berkeley Gally","Owen, John","1714","1","1","14","1","200"," "
"Boyle Frigate","Pitts, Francis","1714","1","1","14","1","218"," "
"Carter Gally","Mullington, Richard","1713","208"," "," "," ","190.1"," "
"Duckinfield Gally","Hodges, Edward","1714","1","1","14","1","330"," "
"Duke of Cambridge","Maynard, Henry","1714","1","1","14","1","100"," "
"Fame Sloop","Deverell, William","1714","1","1","14","1","236.1312"," "
"Florida Gally","Bayly, Alex","1714","1","1","14","1","217"," "
"Freeke Gally","Neale, Alexander","1714","1","1","14","1","283"," "
"Greyhound Gally","Selkirk, Alexander","1715","49","1","14","1","190.0773"," "
"Jacob","Nicholas, Phillip","1714","1","1","14","1","130"," "
"Jason Gally","Plummer, John","1714","1","1","14","1","278"," "
"Lawford Gally","Stretton, Joseph","1713","1","1","14","1","190.0773"," "
"Mercy Gally","Scott, John","1714","1","1","14","1","190"," "
"Mermaid Gally","Banbury, John","1714","49","1","14","1","72"," "
"Morning Star","Poole, Nicholas","1713","1","1","14","1","190.0773"," "
"Peterborough","Shawe, John","1714","1","1","14","1","200"," "
"Resolution","Williams, Charles","1713","1","1","14","1","255","0.055555556"
"Richard and William","Beckham, George","1714","1","1","14","1","55"," "
"Rotchdale Gally","Hitchings, John","1713","1","1","14","1","96"," "
"Tunbridge Gally","Skinner, Peter","1714","1","1","14","1","200"," "
"Union Sloop","Rowe, Thomas","1713","49","1","14","1","80"," "
"Berkley Gally","Webley, William","1715","1","1","14","1","245"," "
"Diana","Davis, John","1715","1","1","14","1","50"," "
"Dover Gally","Ames, William","1715","1","1","14","1","236"," "
"Duckinfield Gally","Bayly, Alexander","1715","1","1","14","1","310"," "
"Fame","Shaw, John","1715","4","1","1","2","84"," "
"Florida","Braddock, James","1715","1","1","14","1","145"," "
"Hallifield Gally","Bewk, John","1714","1","1","14","1","190.0773"," "
"Jason Gally","Plummer, John","1715","1","1","14","1","288"," "
"Peterborough Frigate","Price, John","1715","1","1","14","1","345"," "
"Provis Gally","Hodges, Edward","1715","1","1","14","1","98"," "
"Queen Ann","Reece, David","1714","1","1","14","1","108"," "
"Royal George","Thomson, Henry","1714","1","1","14","1","190.0773"," "
"Sacheverell Gally","Yeamans, Charles","1715","1","1","14","1","116"," "
"Saint Michael","Kenah, William","1714","1","1","14","1","190.0773"," "
"Tiverton Gally","Owen, John","1715","1","1","14","1","230"," "
"Bachelor","Wild, Isaac","1716","1","1","14","1","95"," "
"Dover Gally","Day, John","1715","1","1","14","1","190.0773"," "
"Duckinfield Gally","Bayly, Alexander","1716","1","1","14","1","292"," "
"Freeke Gally","Neale, Alexander","1715","1","1","14","1","262"," "
"Hallifield","Bush, John","1715","1","1","14","1","190.0773"," "
"Houlton","Davis, John","1716","1","1","14","1","118"," "
"Mercy","Callahan, Michael","1716","1","1","14","1","154"," "
"Peniel Gally","Skinner, Thomas","1716","1","1","14","1","150"," "
"Queen Ann","Reece, David","1716","1","1","14","1","100"," "
"Roachdale Gally","Bush, Peter","1715","208"," "," "," ","149.7"," "
"Tiverton Gally","Owen, John","1716","1","1","14","1","259"," "
"Triton Gally","Stephens, William","1716","1","1","14","1","169"," "
"Tunbridge Gally","Skinner, Peter","1715","1","1","14","1","190.0773"," "
"Anna and Sarah","Jacob, Thomas","1716","1","1","14","1","190.0773"," "
"Berkley Gally","Saunders, Edmund","1716","1","1","14","1","312.5136"," "
"Betty Gally","Kenah, William","1716","1","1","14","1","190.0773"," "
"Betty","Yeamans, Charles","1716","1","1","14","1","197"," "
"Charfield","Roberts, William","1717","1","1","14","1","156"," "
"Dover","Gwither, John","1717","1","1","14","1","236.1312"," "
"Duckinfield","Rowles, Charles","1717","1","1","14","1","176"," "
"Freke Gally","Arding, Richard","1716","1","1","14","1","303"," "
"Houlton Gally","Normanton, John","1717","1","1","14","1","149.7256"," "
"Jason Gally","Plummer, John","1717","1","1","14","1","300"," "
"Martin Gally","Martin, Rowland","1717","1","1","14","1","161"," "
"Parnel Gally","Phipps, Benjamin","1717","1","1","14","1","223"," "
"Peniel","Skinner, Thomas","1717","1","1","14","1","190.0773"," "
"Peterborough Frigate","Edwards, James","1717","1","1","14","1","191"," "
"Rebecca","Reece, David","1716","1","1","14","1","135"," "
"Royal George","Corey, Robert","1716","208"," "," "," ","190.1"," "
"Susanna and Elizabeth","Taylor, John","1716","1","1","14","1","190.0773"," "
"Tiverton Gally","Owen, John","1717","1","1","14","1","233"," "
"Triton Gally","Stephens, William","1717","1","1","14","1","140"," "
"Violet","Harrison, Stanley","1717","1","1","14","1","190.0773"," "
"Ann and Sarah","Jacob, Thomas","1717","1","1","14","1","190.0773"," "
"Berkley Gally","Pitts, Francis","1718","1","1","14","1","143"," "
"Coulstone","Skinner, Peter","1718","1","1","14","1","33"," "
"Dragon","Sommers, Phillip","1717","1","1","14","1","190.1"," "
"Duckinfield","Rowles, Charles","1718","1","1","14","1","190.0773"," "
"Freke Gally","Arding, Richard","1717","1","1","14","1","190.0773"," "
"Henry","Harper, James","1718","1","1","14","1","126"," "
"Jason Gally","Plummer, John","1718","1","1","14","1","298"," "
"Martin Gally","Martin, Rowland","1718","1","1","14","1","150"," "
"Mercy","Callahan, Michael","1717","1","1","14","1","264"," "
"Morning Star","Poole, Nicholas (Jr)","1718","1","1","14","1","134"," "
"Nightingale","Merrett, Joseph","1718","1","1","14","1","190.0773"," "
"Parnel Gally","Metherby, Robert","1717","1","1","14","1","209.1804"," "
"Pearl","Painter, William","1718","1","1","14","1","177"," "
"Peterborough","Edwards, James","1718","1","1","14","1","209.1804"," "
"Princess Carolina","Bedford, John","1718","1","1","14","1","86"," "
"Queen Mary","Bayly, Alexander","1717","1","1","14","1","190.0773"," "
"Raymond Gally","Phipps, Benjamin","1718","1","1","14","1","192"," "
"Rebecca","Welch, Robert","1718","1","1","14","1","87"," "
"Rumsey","Porter, Charles","1718","1","1","14","1","126"," "
"Society","Webb, William","1718","1","1","14","1","129"," "
"Success","Vaughan, Thomas","1717","1","1","14","1","180","0.1"
"Tiverton","Owen, John","1718","1","1","14","1","256"," "
"Tryton","Pitts, Francis","1717","1","1","14","1","165"," "
"Tunbridge","Stretton, Joseph","1717","1","1","14","1","190.0773"," "
"Violet","Harrison, Stanley","1718","1","1","14","1","190"," "
"Africa","Griffiths, Samuel","1719","1","1","14","1","84"," "
"Ann Gally","Bedford, John","1719","1","1","14","1","98"," "
"Anna and Sarah","Harris, John","1719","1","1","14","1","159"," "
"Bensworth","Gardner, Nicholas","1718","1","1","14","1","50"," "
"Berkley Gally","Pitts, Francis","1719","1","1","14","1","185"," "
"Betty Gally","Kenah, William","1719","1","1","14","1","280"," "
"Calabar Merchant","Kennedy, Thomas","1718","1","1","14","1","182"," "
"Charfield","Reymer, Robert","1718","1","1","14","1","76"," "
"Charles","Robertson, James","1718","1","1","14","1","109"," "
"Diamond Gally","Roberts, William","1719","1","1","14","1","80"," "
"Duckinfield Gally","Rowles, Charles","1719","1","1","14","1","280"," "
"Freke Gally","Neale, Alexander","1719","1","1","14","1","240"," "
"Greyhound Gally","Forrest, Henry","1718","1","1","14","1","182"," "
"Greyhound","Forrest, Henry","1719","1","1","14","1","170"," "
"Mercy Gally","Callahan, Michael","1719","1","1","14","1","330"," "
"Morehampton","Griffiths, Thomas","1719","1","1","14","1","61"," "
"Noblet Sloop","Westover, William","1719","1","1","14","1","146"," "
"Peniel","Skinner, Thomas","1719","1","1","14","1","160"," "
"Prince Eugene","Stretton, William","1719","1","1","14","1","340"," "
"Queen Mary","Edwards, Thomas","1718","1","1","14","1","330"," "
"Raymond","Phipps, Benjamin","1719","1","1","14","1","230"," "
"Robert and Henry","Scott, John","1718","1","1","14","1","149"," "
"Sherley Gally","Rowes, Thomas","1719","1","1","14","1","192"," "
"Sierra Leone","Harris, Rice","1719","1","1","14","1","103"," "
"Tiverton","Thruppe, William","1719","1","1","14","1","220"," "
"Triton","Sheppard, John","1718","1","1","14","1","154"," "
"Tunbridge Gally","Stretton, Joseph","1719","1","1","14","1","243"," "
"Violet","Harrison, Stanley","1719","1","1","14","1","128"," "
"William and Sarah","Stephens, James","1718","1","1","14","1","200"," "
"Berkley","Pitts, Francis","1720","1","1","14","1","160"," "
"Betty","Stretton, George","1720","1","1","14","1","82"," "
"Betty Gally","Kenah, William","1720","1","1","14","1","320"," "
"Callabar Merchant","Kennedy, Thomas","1720","1","1","14","1","156","0.138121547"
"Commerce","Moor, David","1720","1","1","14","1","130"," "
"Cornwall","Rowles, Charles","1720","1","1","14","1","190.0773"," "
"Coulstone","Vaughan, Hugh","1719","1","1","14","1","123"," "
"Henry","Smith, Henry","1719","9"," ","2","3"," "," "
"Jason","Plummer, John","1720","1","1","14","1","236.1312"," "
"Nightingale","Chrichton, James","1719","1","1","14","1","70"," "
"Oldbury","James, Joseph","1720","1","1","14","1","160"," "
"Peniel","Skinner, Thomas","1719","1","1","14","1","190.0773"," "
"Peterborough","Owen, John","1719","7","5","2","3","190.1"," "
"Queen Mary","Edwards, Thomas","1719","1","1","14","1","190.0773"," "
"Rebecca","Biglow, Jabez","1719","1","1","14","1","190.0773"," "
"Robert","Arding, Richard","1719","1","1","14","1","202"," "
"Tiverton","Southerland, Eneas","1720","1","1","14","1","210"," "
"Triton","Morris, John","1720","1","1","14","1","164"," "
"Abington","Smith, John","1720","1","1","14","1","190.0773"," "
"Betty Gally","Holland, William","1720","1","1","14","1","190.0773"," "
"Callabar Merchant","Kennedy, Thomas","1721","1","1","14","1","224"," "
"Commerce","Moore, David","1721","1","1","14","1","124"," "
"Coulstone Snow","Vaughan, Hugh","1720","1","1","14","1","351.26"," "
"Dover Gally","Price, John","1720","1","1","14","1","190.0773"," "
"Freke Gally","James, John","1720","1","1","14","1","190.0773"," "
"Greyhound","Forrest, Henry","1721","1","1","14","1","222"," "
"Hunter","Maddox, John","1720","1","1","14","1","55"," "
"Mercy Gally","Callahan, Michael","1720","1","1","14","1","236.1312"," "
"Monmouth","Millington, Richard","1720","1","1","14","1","190.0773"," "
"Morning Star","Cotchett, James","1720","1","1","14","1","114"," "
"Nightingale","Creighton, James (a) Crichton","1720","1","1","14","1","190.0773"," "
"Oldbury","George, John","1721","1","1","14","1","209"," "
"Prince Eugene","Morgan, Evan","1721","54","1","3","2","103"," "
"Raymond Gally","Phipps, Benjamin","1720","1","1","14","1","190.0773"," "
"Rebecca","Sprig, Robert","1721","49","1","14","1","59"," "
"Robert","Harding, Richard","1720","1","1","14","1","236.1312"," "
"Robert and Henry","Stout, Thomas","1720","1","1","14","1","236.1312"," "
"Society","Young, John","1720","208"," "," "," ","190.1"," "
"Stewell","Markham, Edward","1720","1","1","14","1","190.0773"," "
"Tryton","Harris, Samuel","1720","1","1","14","1","190.0773"," "
"Tunbridge Gally","Gardner, Nicholas","1721","1","1","14","1","236.1312"," "
"Westbury (a) Westbury Gally","Biglow, Jabez","1721","15","1","4","3","177"," "
"Abington","Smith, John","1722","49","1","14","1","236.1312"," "
"America","Marshall, Thomas","1722","49","1","14","1","125"," "
"Berkley Gally","Pitts, Francis","1722","1","1","14","1","290"," "
"Betty","Stratton, George","1721","1","1","14","1","175"," "
"Betty Gally","James, Henry","1721","208"," "," "," ","190.1"," "
"Chester","Stephens, William","1721","208"," "," "," ","190.1"," "
"Colston","Jeanes, Joseph","1721","1","1","14","1","190.0773"," "
"Cornwall","Rowles, Charles","1721","7","5","2","3","209.2"," "
"Dover","Harris, Rice","1722","49","1"," "," ","202"," "
"Greyhound","Forrest, Henry","1722","1","1","14","1","166"," "
"Happy Adam","Arthur, Henry","1722","1","1","14","1","73"," "
"Hunter","Maddox, John","1721","1","1","14","1","9"," "
"Isaac","Barry, William","1722","208"," "," "," ","190.1"," "
"Jason","Plummer, John","1721","208"," "," "," ","190.1"," "
"Mary","Thruppe, William","1721","208"," "," "," ","190.1"," "
"Mercy Gally","Harrison, Stanley","1721","6","2","2","3"," "," "
"Morning Star","Cochett, James","1721","208"," "," "," ","190.1"," "
"Nightingale","Creighton, James (a) Crichton","1721","1","1","14","1","190.0773"," "
"Oldbury","George, John","1721","208"," "," "," ","190.1"," "
"Peniel","Skinner, Thomas","1721","208"," "," "," ","190.1"," "
"Raymond","Phipps, Benjamin","1721","208"," "," "," ","190.1"," "
"Robert","Harding, Richard","1721","1","1","14","1","190"," "
"Sarah","Rouse, Peter","1721","208"," "," "," ","190.1"," "
"Sherley","Biglow, Jabez","1721","208"," "," "," ","190.1"," "
"Stawell","Markham, Edward","1721","208"," "," "," ","190.1"," "
"Tiverton","Scandret, John","1721","208"," "," "," ","190.1"," "
"Triton","Harris, Samuel","1721","208"," "," "," ","190.1"," "
"America","Marshall, Thomas","1723","1","1","14","1","146"," "
"Berkley Gally","Pitts, Francis","1723","1","1","14","1","190.0773"," "
"Betty","Cantrill, Thomas","1722","1","1","14","1","190.0773"," "
"Betty Gally","Edwards, Thomas","1722","1","1","14","1","190.0773"," "
"Commerce","Moore, David","1722","1","1","14","1","190.0773"," "
"Cornwall","Rowles, Charles","1723","1","1","14","1","190.0773"," "
"Greyhound","Hallden, Edward","1723","1","1","14","1","209","0.383480826"
"Hunter","Maddox, John","1722","49","1","14","1","48"," "
"Isaac","Barry, William","1723","1","1","14","1","190.0773"," "
"Joseph and Anne","Bird, Japhet","1723","1","1","14","1","239","0.226537217"
"Mary and Catherine","Holland, William","1722","1","1","14","1","190.0773"," "
"Mary Gally","Callahan, Michael","1723","1","1","14","1","288"," "
"Nightingale","Chrichton, James","1723","1","1","14","1","170"," "
"Oldbury","George, John","1723","1","1","14","1","180"," "
"Pearle Gally","Cochet, James","1722","1","1","14","1","190.0773"," "
"Peniel Gally","Skinner, Thomas","1723","1","1","14","1","250"," "
"Raymond Gally","Phipps, Benjamin","1722","1","1","14","1","190.0773"," "
"Robert","Arding, Richard","1722","1","1","14","1","190.0773"," "
"Sherley Gally","Kennedy, Thomas","1723","1","1","14","1","230"," "
"Tryton","Harris, Samuel","1723","1","1","14","1","164"," "
"Abington","Smith, John","1723","1","1","14","1","227.5"," "
"America","Marshall, Thomas","1724","1","1","14","1","117"," "
"Berkley Gally","Hale, John","1724","1","1","14","1","190.0773"," "
